p e cs2 p_norm muB X n gamma
7.4360000e+01 4.6200000e+02 2.8320000e-01 3.3520000e-01 1.1610000e+03 2.9000000e+00 3.5456000e-03 2.0427266e+00
7.5640000e+01 4.6650000e+02 2.8320000e-01 3.3770000e-01 1.1630000e+03 2.9000000e+00 3.5760000e-03 2.0297997e+00
7.6950000e+01 4.7110000e+02 2.8330000e-01 3.4030000e-01 1.1660000e+03 2.9000000e+00 3.6064000e-03 2.0177071e+00
7.8260000e+01 4.7580000e+02 2.8330000e-01 3.4280000e-01 1.1690000e+03 2.9000000e+00 3.6368000e-03 2.0056887e+00
7.9590000e+01 4.8050000e+02 2.8340000e-01 3.4530000e-01 1.1720000e+03 2.9000000e+00 3.6672000e-03 1.9943398e+00
8.0940000e+01 4.8520000e+02 2.8350000e-01 3.4780000e-01 1.1750000e+03 2.9000000e+00 3.6992000e-03 1.9829589e+00
8.2300000e+01 4.9000000e+02 2.8350000e-01 3.5030000e-01 1.1770000e+03 2.9000000e+00 3.7296000e-03 1.9714101e+00
8.3680000e+01 4.9490000e+02 2.8360000e-01 3.5280000e-01 1.1800000e+03 2.9000000e+00 3.7616000e-03 1.9608663e+00
8.5070000e+01 4.9980000e+02 2.8370000e-01 3.5520000e-01 1.1830000e+03 2.9000000e+00 3.7936000e-03 1.9504834e+00
8.6470000e+01 5.0470000e+02 2.8370000e-01 3.5760000e-01 1.1860000e+03 2.9000000e+00 3.8256000e-03 1.9395736e+00
8.7890000e+01 5.0970000e+02 2.8380000e-01 3.6000000e-01 1.1890000e+03 2.9000000e+00 3.8576000e-03 1.9296398e+00
8.9330000e+01 5.1480000e+02 2.8390000e-01 3.6240000e-01 1.1920000e+03 2.9000000e+00 3.8896000e-03 1.9199878e+00
9.0780000e+01 5.1990000e+02 2.8390000e-01 3.6480000e-01 1.1940000e+03 2.9000000e+00 3.9232000e-03 1.9098045e+00
9.2250000e+01 5.2510000e+02 2.8400000e-01 3.6720000e-01 1.1970000e+03 2.9000000e+00 3.9568000e-03 1.9005680e+00
9.3730000e+01 5.3030000e+02 2.8410000e-01 3.6960000e-01 1.2000000e+03 2.9000000e+00 3.9904000e-03 1.8914640e+00
9.5230000e+01 5.3560000e+02 2.8420000e-01 3.7190000e-01 1.2030000e+03 2.9000000e+00 4.0240000e-03 1.8826198e+00
9.6740000e+01 5.4090000e+02 2.8430000e-01 3.7420000e-01 1.2060000e+03 2.9000000e+00 4.0576000e-03 1.8738996e+00
9.8270000e+01 5.4630000e+02 2.8440000e-01 3.7650000e-01 1.2090000e+03 2.9000000e+00 4.0912000e-03 1.8654290e+00
9.9820000e+01 5.5170000e+02 2.8440000e-01 3.7880000e-01 1.2120000e+03 2.9000000e+00 4.1264000e-03 1.8562642e+00
1.0140000e+02 5.5720000e+02 2.8450000e-01 3.8110000e-01 1.2150000e+03 2.9000000e+00 4.1616000e-03 1.8478471e+00
