p e n/n0 cs2 p_norm muB X
4.761e+02 1.832e+03 6.869e-02 2.990e-01 5.775e-01 1.611e+00 2.920e+00
4.817e+02 1.851e+03 6.924e-02 2.991e-01 5.786e-01 1.615e+00 2.920e+00
4.873e+02 1.870e+03 6.980e-02 2.992e-01 5.798e-01 1.619e+00 2.920e+00
4.930e+02 1.889e+03 7.037e-02 2.993e-01 5.810e-01 1.623e+00 2.920e+00
4.987e+02 1.908e+03 7.093e-02 2.994e-01 5.821e-01 1.627e+00 2.920e+00
5.046e+02 1.927e+03 7.150e-02 2.996e-01 5.833e-01 1.631e+00 2.920e+00
5.104e+02 1.947e+03 7.208e-02 2.997e-01 5.844e-01 1.635e+00 2.920e+00
5.164e+02 1.967e+03 7.266e-02 2.998e-01 5.856e-01 1.639e+00 2.920e+00
5.224e+02 1.987e+03 7.324e-02 2.999e-01 5.867e-01 1.643e+00 2.920e+00
5.284e+02 2.007e+03 7.383e-02 3.000e-01 5.878e-01 1.647e+00 2.920e+00
5.345e+02 2.027e+03 7.443e-02 3.001e-01 5.889e-01 1.651e+00 2.920e+00
5.407e+02 2.048e+03 7.503e-02 3.002e-01 5.901e-01 1.655e+00 2.920e+00
5.470e+02 2.069e+03 7.563e-02 3.004e-01 5.912e-01 1.659e+00 2.920e+00
5.533e+02 2.090e+03 7.624e-02 3.005e-01 5.923e-01 1.663e+00 2.920e+00
5.597e+02 2.111e+03 7.685e-02 3.006e-01 5.934e-01 1.667e+00 2.920e+00
5.661e+02 2.132e+03 7.746e-02 3.007e-01 5.945e-01 1.671e+00 2.920e+00
5.726e+02 2.154e+03 7.809e-02 3.008e-01 5.956e-01 1.675e+00 2.920e+00
5.792e+02 2.176e+03 7.871e-02 3.009e-01 5.967e-01 1.679e+00 2.920e+00
5.859e+02 2.198e+03 7.934e-02 3.010e-01 5.977e-01 1.683e+00 2.920e+00
5.926e+02 2.220e+03 7.998e-02 3.011e-01 5.988e-01 1.687e+00 2.920e+00
5.994e+02 2.243e+03 8.062e-02 3.013e-01 5.999e-01 1.691e+00 2.920e+00
6.063e+02 2.266e+03 8.126e-02 3.014e-01 6.010e-01 1.695e+00 2.920e+00
6.132e+02 2.289e+03 8.191e-02 3.015e-01 6.020e-01 1.699e+00 2.920e+00
6.202e+02 2.312e+03 8.257e-02 3.016e-01 6.031e-01 1.703e+00 2.920e+00
6.273e+02 2.335e+03 8.323e-02 3.017e-01 6.041e-01 1.707e+00 2.920e+00
6.345e+02 2.359e+03 8.390e-02 3.018e-01 6.052e-01 1.711e+00 2.920e+00
6.417e+02 2.383e+03 8.457e-02 3.019e-01 6.062e-01 1.715e+00 2.920e+00
6.490e+02 2.407e+03 8.524e-02 3.020e-01 6.073e-01 1.719e+00 2.920e+00
6.564e+02 2.432e+03 8.592e-02 3.021e-01 6.083e-01 1.724e+00 2.920e+00
6.638e+02 2.456e+03 8.661e-02 3.022e-01 6.093e-01 1.728e+00 2.920e+00
6.714e+02 2.481e+03 8.730e-02 3.023e-01 6.103e-01 1.732e+00 2.920e+00
6.790e+02 2.506e+03 8.800e-02 3.024e-01 6.114e-01 1.736e+00 2.920e+00
6.867e+02 2.532e+03 8.870e-02 3.026e-01 6.124e-01 1.740e+00 2.920e+00
6.944e+02 2.558e+03 8.941e-02 3.027e-01 6.134e-01 1.744e+00 2.920e+00
7.023e+02 2.584e+03 9.012e-02 3.028e-01 6.144e-01 1.749e+00 2.920e+00
7.102e+02 2.610e+03 9.084e-02 3.029e-01 6.154e-01 1.753e+00 2.920e+00
7.183e+02 2.636e+03 9.156e-02 3.030e-01 6.164e-01 1.757e+00 2.920e+00
7.264e+02 2.663e+03 9.229e-02 3.031e-01 6.174e-01 1.761e+00 2.920e+00
