p e n/n0 cs2 p_norm muB X
4.619e+02 1.769e+03 6.697e-02 2.992e-01 5.803e-01 1.597e+00 3
4.674e+02 1.787e+03 6.753e-02 2.993e-01 5.815e-01 1.601e+00 3
4.729e+02 1.806e+03 6.808e-02 2.994e-01 5.827e-01 1.605e+00 3
4.786e+02 1.825e+03 6.864e-02 2.995e-01 5.838e-01 1.609e+00 3
4.842e+02 1.844e+03 6.921e-02 2.996e-01 5.850e-01 1.613e+00 3
4.900e+02 1.863e+03 6.978e-02 2.997e-01 5.861e-01 1.617e+00 3
4.958e+02 1.882e+03 7.035e-02 2.999e-01 5.873e-01 1.621e+00 3
5.017e+02 1.902e+03 7.093e-02 3.000e-01 5.884e-01 1.625e+00 3
5.076e+02 1.922e+03 7.151e-02 3.001e-01 5.896e-01 1.629e+00 3
5.136e+02 1.942e+03 7.210e-02 3.002e-01 5.907e-01 1.633e+00 3
5.197e+02 1.962e+03 7.269e-02 3.003e-01 5.918e-01 1.637e+00 3
5.258e+02 1.982e+03 7.329e-02 3.004e-01 5.930e-01 1.641e+00 3
5.320e+02 2.003e+03 7.389e-02 3.006e-01 5.941e-01 1.645e+00 3
5.382e+02 2.024e+03 7.450e-02 3.007e-01 5.952e-01 1.649e+00 3
5.446e+02 2.045e+03 7.511e-02 3.008e-01 5.963e-01 1.653e+00 3
5.510e+02 2.066e+03 7.572e-02 3.009e-01 5.974e-01 1.657e+00 3
5.574e+02 2.087e+03 7.634e-02 3.010e-01 5.985e-01 1.661e+00 3
5.639e+02 2.109e+03 7.697e-02 3.011e-01 5.996e-01 1.665e+00 3
5.705e+02 2.131e+03 7.760e-02 3.013e-01 6.007e-01 1.670e+00 3
5.772e+02 2.153e+03 7.823e-02 3.014e-01 6.018e-01 1.674e+00 3
5.840e+02 2.175e+03 7.887e-02 3.015e-01 6.028e-01 1.678e+00 3
5.908e+02 2.198e+03 7.952e-02 3.016e-01 6.039e-01 1.682e+00 3
5.977e+02 2.221e+03 8.017e-02 3.017e-01 6.050e-01 1.686e+00 3
6.046e+02 2.244e+03 8.082e-02 3.018e-01 6.060e-01 1.690e+00 3
6.116e+02 2.267e+03 8.148e-02 3.019e-01 6.071e-01 1.694e+00 3
6.187e+02 2.291e+03 8.215e-02 3.020e-01 6.081e-01 1.698e+00 3
6.259e+02 2.314e+03 8.282e-02 3.021e-01 6.092e-01 1.703e+00 3
6.332e+02 2.338e+03 8.350e-02 3.023e-01 6.102e-01 1.707e+00 3
6.405e+02 2.363e+03 8.418e-02 3.024e-01 6.113e-01 1.711e+00 3
6.479e+02 2.387e+03 8.486e-02 3.025e-01 6.123e-01 1.715e+00 3
6.554e+02 2.412e+03 8.556e-02 3.026e-01 6.133e-01 1.719e+00 3
6.630e+02 2.437e+03 8.625e-02 3.027e-01 6.143e-01 1.724e+00 3
6.707e+02 2.462e+03 8.695e-02 3.028e-01 6.154e-01 1.728e+00 3
6.784e+02 2.488e+03 8.766e-02 3.029e-01 6.164e-01 1.732e+00 3
6.862e+02 2.514e+03 8.838e-02 3.030e-01 6.174e-01 1.736e+00 3
6.941e+02 2.540e+03 8.910e-02 3.031e-01 6.184e-01 1.741e+00 3
7.021e+02 2.566e+03 8.982e-02 3.032e-01 6.194e-01 1.745e+00 3
7.102e+02 2.593e+03 9.055e-02 3.033e-01 6.204e-01 1.749e+00 3
7.183e+02 2.620e+03 9.129e-02 3.034e-01 6.214e-01 1.754e+00 3
7.266e+02 2.647e+03 9.203e-02 3.035e-01 6.224e-01 1.758e+00 3
7.349e+02 2.674e+03 9.278e-02 3.036e-01 6.233e-01 1.762e+00 3
7.433e+02 2.702e+03 9.353e-02 3.038e-01 6.243e-01 1.767e+00 3
7.518e+02 2.730e+03 9.429e-02 3.039e-01 6.253e-01 1.771e+00 3
7.604e+02 2.758e+03 9.505e-02 3.040e-01 6.262e-01 1.775e+00 3
7.691e+02 2.787e+03 9.582e-02 3.041e-01 6.272e-01 1.780e+00 3
7.779e+02 2.816e+03 9.660e-02 3.042e-01 6.282e-01 1.784e+00 3
7.867e+02 2.845e+03 9.738e-02 3.043e-01 6.291e-01 1.788e+00 3
7.957e+02 2.874e+03 9.817e-02 3.044e-01 6.301e-01 1.793e+00 3
8.048e+02 2.904e+03 9.897e-02 3.045e-01 6.310e-01 1.797e+00 3
8.139e+02 2.934e+03 9.977e-02 3.046e-01 6.320e-01 1.802e+00 3
8.232e+02 2.964e+03 1.006e-01 3.047e-01 6.329e-01 1.806e+00 3
8.325e+02 2.995e+03 1.014e-01 3.048e-01 6.338e-01 1.810e+00 3
8.420e+02 3.026e+03 1.022e-01 3.049e-01 6.347e-01 1.815e+00 3
8.515e+02 3.057e+03 1.030e-01 3.050e-01 6.357e-01 1.819e+00 3
8.612e+02 3.089e+03 1.039e-01 3.051e-01 6.366e-01 1.824e+00 3
8.709e+02 3.121e+03 1.047e-01 3.052e-01 6.375e-01 1.828e+00 3
8.808e+02 3.153e+03 1.056e-01 3.053e-01 6.384e-01 1.833e+00 3
8.907e+02 3.186e+03 1.064e-01 3.054e-01 6.393e-01 1.837e+00 3
9.008e+02 3.219e+03 1.073e-01 3.055e-01 6.402e-01 1.842e+00 3
9.110e+02 3.252e+03 1.081e-01 3.056e-01 6.411e-01 1.846e+00 3
9.212e+02 3.286e+03 1.090e-01 3.057e-01 6.420e-01 1.851e+00 3
9.316e+02 3.320e+03 1.099e-01 3.058e-01 6.429e-01 1.855e+00 3
9.421e+02 3.354e+03 1.108e-01 3.059e-01 6.438e-01 1.860e+00 3
9.527e+02 3.389e+03 1.117e-01 3.060e-01 6.447e-01 1.865e+00 3
9.634e+02 3.424e+03 1.126e-01 3.061e-01 6.456e-01 1.869e+00 3
9.743e+02 3.459e+03 1.135e-01 3.061e-01 6.464e-01 1.874e+00 3
9.852e+02 3.495e+03 1.144e-01 3.062e-01 6.473e-01 1.878e+00 3
9.963e+02 3.531e+03 1.153e-01 3.063e-01 6.482e-01 1.883e+00 3
