p e n/n0 cs2 p_norm muB X
2.884e+02 6.859e+03 1.634e-01 5.725e-01 1.217e-01 2.098e+00 1
2.897e+02 6.862e+03 1.634e-01 5.714e-01 1.222e-01 2.099e+00 1
2.911e+02 6.864e+03 1.635e-01 5.703e-01 1.227e-01 2.099e+00 1
2.925e+02 6.867e+03 1.635e-01 5.692e-01 1.232e-01 2.099e+00 1
2.939e+02 6.869e+03 1.636e-01 5.681e-01 1.236e-01 2.100e+00 1
2.952e+02 6.871e+03 1.637e-01 5.671e-01 1.241e-01 2.100e+00 1
2.966e+02 6.874e+03 1.637e-01 5.660e-01 1.246e-01 2.101e+00 1
2.980e+02 6.876e+03 1.638e-01 5.649e-01 1.251e-01 2.101e+00 1
2.994e+02 6.879e+03 1.638e-01 5.639e-01 1.256e-01 2.101e+00 1
3.008e+02 6.881e+03 1.639e-01 5.628e-01 1.261e-01 2.102e+00 1
3.021e+02 6.884e+03 1.639e-01 5.618e-01 1.265e-01 2.102e+00 1
3.035e+02 6.886e+03 1.640e-01 5.607e-01 1.270e-01 2.103e+00 1
3.049e+02 6.889e+03 1.640e-01 5.597e-01 1.275e-01 2.103e+00 1
3.063e+02 6.891e+03 1.641e-01 5.587e-01 1.280e-01 2.103e+00 1
3.077e+02 6.894e+03 1.642e-01 5.576e-01 1.285e-01 2.104e+00 1
3.091e+02 6.896e+03 1.642e-01 5.566e-01 1.289e-01 2.104e+00 1
3.104e+02 6.898e+03 1.643e-01 5.556e-01 1.294e-01 2.105e+00 1
3.118e+02 6.901e+03 1.643e-01 5.546e-01 1.299e-01 2.105e+00 1
3.132e+02 6.903e+03 1.644e-01 5.536e-01 1.304e-01 2.105e+00 1
3.146e+02 6.906e+03 1.644e-01 5.526e-01 1.309e-01 2.106e+00 1
3.160e+02 6.909e+03 1.645e-01 5.516e-01 1.313e-01 2.106e+00 1
3.174e+02 6.911e+03 1.646e-01 5.506e-01 1.318e-01 2.107e+00 1
3.188e+02 6.914e+03 1.646e-01 5.497e-01 1.323e-01 2.107e+00 1
3.202e+02 6.916e+03 1.647e-01 5.487e-01 1.328e-01 2.107e+00 1
3.216e+02 6.919e+03 1.647e-01 5.477e-01 1.332e-01 2.108e+00 1
3.229e+02 6.921e+03 1.648e-01 5.468e-01 1.337e-01 2.108e+00 1
3.243e+02 6.924e+03 1.648e-01 5.458e-01 1.342e-01 2.109e+00 1
3.257e+02 6.926e+03 1.649e-01 5.449e-01 1.347e-01 2.109e+00 1
3.271e+02 6.929e+03 1.650e-01 5.439e-01 1.351e-01 2.109e+00 1
3.285e+02 6.931e+03 1.650e-01 5.430e-01 1.356e-01 2.110e+00 1
3.299e+02 6.934e+03 1.651e-01 5.420e-01 1.361e-01 2.110e+00 1
3.313e+02 6.937e+03 1.651e-01 5.411e-01 1.365e-01 2.111e+00 1
3.327e+02 6.939e+03 1.652e-01 5.402e-01 1.370e-01 2.111e+00 1
3.341e+02 6.942e+03 1.653e-01 5.393e-01 1.375e-01 2.111e+00 1
3.355e+02 6.944e+03 1.653e-01 5.384e-01 1.379e-01 2.112e+00 1
3.369e+02 6.947e+03 1.654e-01 5.374e-01 1.384e-01 2.112e+00 1
3.383e+02 6.950e+03 1.654e-01 5.365e-01 1.389e-01 2.113e+00 1
3.397e+02 6.952e+03 1.655e-01 5.356e-01 1.394e-01 2.113e+00 1
3.411e+02 6.955e+03 1.656e-01 5.348e-01 1.398e-01 2.114e+00 1
3.425e+02 6.957e+03 1.656e-01 5.339e-01 1.403e-01 2.114e+00 1
3.439e+02 6.960e+03 1.657e-01 5.330e-01 1.408e-01 2.114e+00 1
3.453e+02 6.963e+03 1.657e-01 5.321e-01 1.412e-01 2.115e+00 1
3.467e+02 6.965e+03 1.658e-01 5.312e-01 1.417e-01 2.115e+00 1
3.481e+02 6.968e+03 1.658e-01 5.304e-01 1.422e-01 2.116e+00 1
3.495e+02 6.971e+03 1.659e-01 5.295e-01 1.426e-01 2.116e+00 1
3.510e+02 6.973e+03 1.660e-01 5.286e-01 1.431e-01 2.116e+00 1
3.524e+02 6.976e+03 1.660e-01 5.278e-01 1.435e-01 2.117e+00 1
3.538e+02 6.979e+03 1.661e-01 5.269e-01 1.440e-01 2.117e+00 1
3.552e+02 6.981e+03 1.662e-01 5.261e-01 1.445e-01 2.118e+00 1
3.566e+02 6.984e+03 1.662e-01 5.252e-01 1.449e-01 2.118e+00 1
3.580e+02 6.987e+03 1.663e-01 5.244e-01 1.454e-01 2.118e+00 1
3.594e+02 6.989e+03 1.663e-01 5.236e-01 1.459e-01 2.119e+00 1
3.608e+02 6.992e+03 1.664e-01 5.227e-01 1.463e-01 2.119e+00 1
3.622e+02 6.995e+03 1.665e-01 5.219e-01 1.468e-01 2.120e+00 1
3.637e+02 6.998e+03 1.665e-01 5.211e-01 1.472e-01 2.120e+00 1
3.651e+02 7.000e+03 1.666e-01 5.203e-01 1.477e-01 2.120e+00 1
3.665e+02 7.003e+03 1.666e-01 5.194e-01 1.482e-01 2.121e+00 1
3.679e+02 7.006e+03 1.667e-01 5.186e-01 1.486e-01 2.121e+00 1
3.693e+02 7.008e+03 1.668e-01 5.178e-01 1.491e-01 2.122e+00 1
3.708e+02 7.011e+03 1.668e-01 5.170e-01 1.495e-01 2.122e+00 1
3.722e+02 7.014e+03 1.669e-01 5.162e-01 1.500e-01 2.122e+00 1
3.736e+02 7.017e+03 1.670e-01 5.155e-01 1.504e-01 2.123e+00 1
3.750e+02 7.019e+03 1.670e-01 5.147e-01 1.509e-01 2.123e+00 1
3.764e+02 7.022e+03 1.671e-01 5.139e-01 1.514e-01 2.124e+00 1
3.779e+02 7.025e+03 1.671e-01 5.131e-01 1.518e-01 2.124e+00 1
3.793e+02 7.028e+03 1.672e-01 5.123e-01 1.523e-01 2.125e+00 1
3.807e+02 7.031e+03 1.673e-01 5.116e-01 1.527e-01 2.125e+00 1
3.821e+02 7.033e+03 1.673e-01 5.108e-01 1.532e-01 2.125e+00 1
3.836e+02 7.036e+03 1.674e-01 5.100e-01 1.536e-01 2.126e+00 1
3.850e+02 7.039e+03 1.675e-01 5.093e-01 1.541e-01 2.126e+00 1
3.864e+02 7.042e+03 1.675e-01 5.085e-01 1.545e-01 2.127e+00 1
3.878e+02 7.045e+03 1.676e-01 5.078e-01 1.550e-01 2.127e+00 1
3.893e+02 7.047e+03 1.676e-01 5.070e-01 1.554e-01 2.127e+00 1
