R M
8.783779162182923983e+00 1.198364898298000414e+00
1.104614682071485277e+01 8.770858562161620853e-01
7.473462879004443060e+00 1.442467045991144836e+00
1.133304380646965193e+01 1.017764451527869873e+00
5.665162283462309212e+00 1.085254110306912212e+00
9.765625507208206102e+00 8.356896493060468334e-01
7.791145507351463273e+00 1.219669430296290491e+00
9.972142620214395237e+00 5.286012708936648208e-01
7.606072232029786662e+00 6.619536330515085609e-01
1.073733020506264957e+01 5.540325787815086889e-01
9.898661346730680322e+00 1.324613007330745162e+00
1.086938715356660978e+01 5.958898280222301169e-01
7.699395056636282320e+00 1.068159322640657383e+00
9.161705081550056917e+00 4.052911839489548029e-01
6.608408432204796235e+00 1.187980004282103152e+00
1.044248184053375894e+01 4.280503617232661040e-01
9.248899842004922434e+00 1.069053970035790613e+00
9.025405124891840103e+00 5.103147046535347897e-01
1.094410759607189476e+01 7.847920413221636249e-01
7.935404422588641538e+00 1.088464001342630327e+00
7.744028027732059449e+00 1.035522322465890710e+00
7.435703235726139226e+00 1.132968438569765812e+00
1.218496742200287386e+01 9.680575782754032854e-01
9.106327722966234717e+00 3.340897225762645695e-01
1.011052920311824366e+01 1.034599158136151553e+00
7.198398716411160692e+00 9.328712725454597621e-01
8.962417794212313993e+00 8.165999215909460762e-01
1.021548393027431167e+01 5.519390908202909118e-01
7.485703871432002998e+00 1.084437656841189090e+00
1.046725598854443717e+01 3.894885076119408707e-01
8.762709838843772303e+00 6.354269421421205877e-01
9.482841664953145511e+00 7.345618343784232618e-01
8.791918651594635037e+00 1.036477190070056453e+00
8.418825580499387229e+00 6.774230151999556249e-01
8.500482398231795855e+00 8.419973985199855626e-01
7.369530410884888916e+00 9.334714788841826927e-01
1.270580685204818394e+01 6.188145380602674273e-01
9.103150189157403815e+00 9.707331683681307277e-01
8.884786736065134249e+00 9.944830870996739236e-01
1.002410856507050951e+01 1.088670116681091704e+00
7.611305283011915890e+00 1.094740806179975934e+00
9.499862050041551598e+00 6.005002302889798083e-01
1.070262652855581642e+01 7.586212287114166841e-01
6.991987097541084495e+00 1.315201773310429312e+00
7.563017789828868409e+00 8.848858913845563112e-01
6.709772342044488802e+00 1.385819205893890071e+00
6.882071017850045713e+00 1.128864497514950660e+00
7.284290571289719907e+00 9.211226343544384187e-01
6.150235478719208615e+00 1.324523270522682150e+00
9.299089693007211110e+00 8.167877042410474075e-01
1.195420193564007860e+01 8.878713111405613922e-01
7.381778009194203349e+00 1.181278056883100058e+00
1.099509442656060898e+01 5.316566080760596336e-01
8.394674121878674455e+00 1.482305655349834161e+00
9.168222641766790915e+00 9.559074421079816197e-01
9.015855651751802924e+00 4.774608351041833565e-01
7.817646735552704840e+00 1.502840804145549880e+00
9.011297891716623099e+00 8.583854987848331675e-01
9.779673709414574034e+00 1.180898031235694035e+00
1.028862856375310386e+01 4.303450943769008274e-01
1.045712322103340597e+01 6.161397103692588528e-01
8.886350053851225894e+00 1.237011941052697406e+00
6.227444115921661805e+00 1.313401961644798943e+00
5.895016903977930767e+00 1.034174132046581596e+00
8.074528782627901080e+00 1.132062615193970334e+00
1.115336354698199806e+01 8.135105109295670545e-01
9.243071772002917186e+00 6.780113188550798142e-01
1.103559027180642893e+01 1.031545604597909893e+00
9.620388448007894056e+00 1.278404097464543199e+00
9.256552197005269988e+00 7.074122239059534856e-01
7.450116897562405249e+00 1.052525813375245534e+00
1.064625284527835802e+01 4.778299402901100557e-01
1.062292216458520500e+01 8.372280724712097832e-01
6.373174107742649142e+00 1.254416037280888352e+00
1.006515242113816555e+01 4.376905289320264236e-01
8.554187162662854504e+00 8.104275822486159964e-01
9.348801844363967106e+00 7.095877917035600113e-01
9.706594503431723808e+00 7.591875061546049519e-01
8.137424159407693480e+00 9.626394383172314217e-01
1.097111103659929121e+01 6.480076295037040524e-01
8.953058323624121684e+00 1.611225305609348180e+00
7.093638929843800511e+00 1.485847557915300987e+00
1.187257804769745206e+01 7.924872495791874805e-01
1.196922184310666637e+01 5.832389657521640514e-01
9.644382197124826916e+00 9.887838276257617798e-01
6.778253925135003577e+00 1.428835717120336524e+00
9.428141133678927588e+00 6.038010353644128747e-01
8.957102633468050357e+00 5.607996659421359276e-01
8.988311021879621165e+00 1.190582955808936472e+00
8.161239661192301043e+00 1.443403292278182759e+00
1.065733560143667447e+01 6.136908264453698747e-01
1.019505311129723069e+01 1.035935065953750289e+00
5.936407898435519748e+00 1.090810443058761292e+00
7.524306557791820005e+00 9.303981054698101660e-01
1.179470650371861851e+01 5.404355591169219819e-01
1.047262496687294586e+01 4.556034640149402293e-01
1.005482543815722707e+01 6.049441749103692256e-01
6.560460804059593976e+00 1.404989074247368963e+00
1.104450785273256486e+01 7.544739438098262418e-01
8.310211897191607022e+00 9.888392531858183343e-01
6.227104494925354672e+00 1.217248071516901398e+00
9.389461994456318905e+00 1.041513106182543336e+00
8.536535524820099141e+00 7.760754075269213903e-01
6.370903207425600456e+00 1.231247185154039858e+00
1.007093075785264347e+01 7.455506134468794510e-01
6.449578167602636469e+00 1.242101346008900986e+00
9.934133603333918927e+00 5.543136656608507185e-01
