n e p muB cs2 gamma
6.4310280e-11 5.9885810e-08 3.6790170e-13 2.8103370e+03 9.7017710e-06 1.5792316e+00
6.8672910e-11 6.3948320e-08 4.0826100e-13 2.8103380e+03 1.0197620e-05 1.5973234e+00
7.3331490e-11 6.8286420e-08 4.5371780e-13 2.8103390e+03 1.0802840e-05 1.6258832e+00
7.8306090e-11 7.2918820e-08 5.0536530e-13 2.8103390e+03 1.1479560e-05 1.6563895e+00
8.3618160e-11 7.7865460e-08 5.6389560e-13 2.8103400e+03 1.2062720e-05 1.6656914e+00
8.9290580e-11 8.3147680e-08 6.2891300e-13 2.8103410e+03 1.2538590e-05 1.6577214e+00
9.5347800e-11 8.8788230e-08 7.0102210e-13 2.8103420e+03 1.3016000e-05 1.6485596e+00
1.0181590e-10 9.4811430e-08 7.8091190e-13 2.8103430e+03 1.3497450e-05 1.6387547e+00
1.0872280e-10 1.0124320e-07 8.6932990e-13 2.8103430e+03 1.3982550e-05 1.6284385e+00
1.1609830e-10 1.0811130e-07 9.6709050e-13 2.8103440e+03 1.4471510e-05 1.6177884e+00
1.2397410e-10 1.1544540e-07 1.0750860e-12 2.8103450e+03 1.4965620e-05 1.6070603e+00
1.3238410e-10 1.2327700e-07 1.1943020e-12 2.8103460e+03 1.5467550e-05 1.5965908e+00
1.4136470e-10 1.3163980e-07 1.3258430e-12 2.8103470e+03 1.5981390e-05 1.5867702e+00
1.5095450e-10 1.4057000e-07 1.4709640e-12 2.8103480e+03 1.6513790e-05 1.5781268e+00
1.6119480e-10 1.5010590e-07 1.6311180e-12 2.8103490e+03 1.7074750e-05 1.5713447e+00
1.7212980e-10 1.6028880e-07 1.8080320e-12 2.8103500e+03 1.7678520e-05 1.5672846e+00
1.8380660e-10 1.7116250e-07 2.0038030e-12 2.8103510e+03 1.8345030e-05 1.5670293e+00
1.9627550e-10 1.8277380e-07 2.2210400e-12 2.8103520e+03 1.9101350e-05 1.5719072e+00
2.0959030e-10 1.9517280e-07 2.4630710e-12 2.8103530e+03 1.9983910e-05 1.5835373e+00
2.2380830e-10 2.0841290e-07 2.7342160e-12 2.8103550e+03 2.1040970e-05 1.6038481e+00
2.3899080e-10 2.2255130e-07 3.0401850e-12 2.8103560e+03 2.2320350e-05 1.6339436e+00
2.5520330e-10 2.3764880e-07 3.3881190e-12 2.8103570e+03 2.3563630e-05 1.6528192e+00
2.7251560e-10 2.5377040e-07 3.7769170e-12 2.8103590e+03 2.4550740e-05 1.6495845e+00
2.9100220e-10 2.7098580e-07 4.2075490e-12 2.8103600e+03 2.5452960e-05 1.6393149e+00
3.1074300e-10 2.8936900e-07 4.6840660e-12 2.8103620e+03 2.6364800e-05 1.6287728e+00
3.3182290e-10 3.0899930e-07 5.2109110e-12 2.8103640e+03 2.7288470e-05 1.6181931e+00
3.5433290e-10 3.2996140e-07 5.7930100e-12 2.8103650e+03 2.8228970e-05 1.6079092e+00
3.7836980e-10 3.5234540e-07 6.4358790e-12 2.8103670e+03 2.9194150e-05 1.5983228e+00
4.0403740e-10 3.7624800e-07 7.1457970e-12 2.8103690e+03 3.0196390e-05 1.5899622e+00
4.3144610e-10 4.0177210e-07 7.9300500e-12 2.8103710e+03 3.1254140e-05 1.5835070e+00
4.6071420e-10 4.2902770e-07 8.7972720e-12 2.8103730e+03 3.2393280e-05 1.5797965e+00
4.9196780e-10 4.5813230e-07 9.7579410e-12 2.8103750e+03 3.3650050e-05 1.5798930e+00
5.2534150e-10 4.8921140e-07 1.0825080e-11 2.8103770e+03 3.5073650e-05 1.5850977e+00
5.6097920e-10 5.2239890e-07 1.2015220e-11 2.8103790e+03 3.6730510e-05 1.5970094e+00
5.9903440e-10 5.5783780e-07 1.3349810e-11 2.8103810e+03 3.8689990e-05 1.6167463e+00
6.3967120e-10 5.9568100e-07 1.4855630e-11 2.8103840e+03 4.0586470e-05 1.6274767e+00
6.8306470e-10 6.3609140e-07 1.6530070e-11 2.8103860e+03 4.2085340e-05 1.6195224e+00
7.2940190e-10 6.7924330e-07 1.8376060e-11 2.8103890e+03 4.3421680e-05 1.6050602e+00
7.7888250e-10 7.2532260e-07 2.0408530e-11 2.8103920e+03 4.4744540e-05 1.5902732e+00
8.3171970e-10 7.7452790e-07 2.2643640e-11 2.8103940e+03 4.6057570e-05 1.5754497e+00
8.8814120e-10 8.2707130e-07 2.5099200e-11 2.8103970e+03 4.7369740e-05 1.5609797e+00
9.4839020e-10 8.8317920e-07 2.7795110e-11 2.8104000e+03 4.8697030e-05 1.5473786e+00
1.0127260e-09 9.4309350e-07 3.0754240e-11 2.8104030e+03 5.0065370e-05 1.5353286e+00
1.0814270e-09 1.0070720e-06 3.4003530e-11 2.8104060e+03 5.1512370e-05 1.5256774e+00
1.1547880e-09 1.0753920e-06 3.7575760e-11 2.8104090e+03 5.3094020e-05 1.5195669e+00
1.2331250e-09 1.1483460e-06 4.1512070e-11 2.8104120e+03 5.4887960e-05 1.5184174e+00
1.3167770e-09 1.2262490e-06 4.5865530e-11 2.8104160e+03 5.6998820e-05 1.5239628e+00
1.4061040e-09 1.3094380e-06 5.0706320e-11 2.8104190e+03 5.9570000e-05 1.5383929e+00
1.5014900e-09 1.3982700e-06 5.6128920e-11 2.8104230e+03 6.2767330e-05 1.5637072e+00
1.6033460e-09 1.4931290e-06 6.2257600e-11 2.8104270e+03 6.6007080e-05 1.5831191e+00
1.7121130e-09 1.5944230e-06 6.9095020e-11 2.8104310e+03 6.8641540e-05 1.5840272e+00
1.8282580e-09 1.7025900e-06 7.6651540e-11 2.8104360e+03 7.0990950e-05 1.5769275e+00
1.9522820e-09 1.8180940e-06 8.4990800e-11 2.8104400e+03 7.3310100e-05 1.5682978e+00
2.0847190e-09 1.9414350e-06 9.4179300e-11 2.8104450e+03 7.5579100e-05 1.5580815e+00
2.2261400e-09 2.0731430e-06 1.0428590e-10 2.8104500e+03 7.7776730e-05 1.5462339e+00
2.3771560e-09 2.2137870e-06 1.1538120e-10 2.8104540e+03 7.9879780e-05 1.5327110e+00
2.5384150e-09 2.3639720e-06 1.2753680e-10 2.8104590e+03 8.1863880e-05 1.5174786e+00
2.7106140e-09 2.5243450e-06 1.4082420e-10 2.8104640e+03 8.3703010e-05 1.5005025e+00
2.8944950e-09 2.6955990e-06 1.5531410e-10 2.8104690e+03 8.5372460e-05 1.4817919e+00
3.0908490e-09 2.8784720e-06 1.7107520e-10 2.8104740e+03 8.6849390e-05 1.4613947e+00
3.3005230e-09 3.0737500e-06 1.8817330e-10 2.8104790e+03 8.8112600e-05 1.4393789e+00
3.5244220e-09 3.2822780e-06 2.0667080e-10 2.8104850e+03 8.9146590e-05 1.4158861e+00
3.7635080e-09 3.5049520e-06 2.2662640e-10 2.8104900e+03 8.9906910e-05 1.3905696e+00
4.0188140e-09 3.7427340e-06 2.4807800e-10 2.8104950e+03 8.9129130e-05 1.3447736e+00
4.2914390e-09 3.9966480e-06 2.7041460e-10 2.8105010e+03 8.7066060e-05 1.2868977e+00
4.5825580e-09 4.2677890e-06 2.9376030e-10 2.8105060e+03 8.6944580e-05 1.2632295e+00
4.8934260e-09 4.5573240e-06 3.1919440e-10 2.8105110e+03 9.0653790e-05 1.2944075e+00
5.2253820e-09 4.8665040e-06 3.4815020e-10 2.8105170e+03 9.5966260e-05 1.3415290e+00
5.5798580e-09 5.1966590e-06 3.8064930e-10 2.8105230e+03 1.0080290e-04 1.3762712e+00
5.9583800e-09 5.5492130e-06 4.1707890e-10 2.8105300e+03 1.0584480e-04 1.4083654e+00
6.3625790e-09 5.9256870e-06 4.5793750e-10 2.8105370e+03 1.1115810e-04 1.4384911e+00
6.7941990e-09 6.3277010e-06 5.0375300e-10 2.8105440e+03 1.1665580e-04 1.4654440e+00
7.2550980e-09 6.7569910e-06 5.5506570e-10 2.8105510e+03 1.2221030e-04 1.4878270e+00
7.7472630e-09 7.2154050e-06 6.1240100e-10 2.8105580e+03 1.2764080e-04 1.5040116e+00
8.2728160e-09 7.7049210e-06 6.7622540e-10 2.8105660e+03 1.3269710e-04 1.5120852e+00
8.8340210e-09 8.2276480e-06 7.4688170e-10 2.8105750e+03 1.3704110e-04 1.5097817e+00
9.4332960e-09 8.7858430e-06 8.2449350e-10 2.8105830e+03 1.4023690e-04 1.4945115e+00
1.0073220e-08 9.3819110e-06 9.0884570e-10 2.8105920e+03 1.4272330e-04 1.4734591e+00
1.0756560e-08 1.0018420e-05 1.0005120e-09 2.8106010e+03 1.4547170e-04 1.4567963e+00
1.1486260e-08 1.0698120e-05 1.1004470e-09 2.8106100e+03 1.4844800e-04 1.4433025e+00
1.2265450e-08 1.1423920e-05 1.2092910e-09 2.8106190e+03 1.5136540e-04 1.4300687e+00
1.3097510e-08 1.2198980e-05 1.3277680e-09 2.8106290e+03 1.5429450e-04 1.4177480e+00
1.3986010e-08 1.3026610e-05 1.4567330e-09 2.8106380e+03 1.5734890e-04 1.4072256e+00
1.4934780e-08 1.3910400e-05 1.5972350e-09 2.8106480e+03 1.6068800e-04 1.3996006e+00
1.5947910e-08 1.4854150e-05 1.7506090e-09 2.8106570e+03 1.6454460e-04 1.3963473e+00
1.7029770e-08 1.5861940e-05 1.9186190e-09 2.8106670e+03 1.6923900e-04 1.3993313e+00
1.8185020e-08 1.6938100e-05 2.1036520e-09 2.8106780e+03 1.7520720e-04 1.4109014e+00
1.9418640e-08 1.8087290e-05 2.3090100e-09 2.8106890e+03 1.8238810e-04 1.4288927e+00
2.0735950e-08 1.9314450e-05 2.5376650e-09 2.8107010e+03 1.8834000e-04 1.4336650e+00
2.2142620e-08 2.0624880e-05 2.7872860e-09 2.8107130e+03 1.9224330e-04 1.4227212e+00
2.3644710e-08 2.2024210e-05 3.0589210e-09 2.8107250e+03 1.9582940e-04 1.4101662e+00
2.5248700e-08 2.3518490e-05 3.3542760e-09 2.8107370e+03 1.9936990e-04 1.3980805e+00
2.6961500e-08 2.5114150e-05 3.6753210e-09 2.8107490e+03 2.0297870e-04 1.3871941e+00
2.8790490e-08 2.6818080e-05 4.0244210e-09 2.8107610e+03 2.0682770e-04 1.3784726e+00
3.0743560e-08 2.8637620e-05 4.4045380e-09 2.8107730e+03 2.1116860e-04 1.3731965e+00
3.2829120e-08 3.0580610e-05 4.8195260e-09 2.8107860e+03 2.1634950e-04 1.3729861e+00
3.5056150e-08 3.2655450e-05 5.2745480e-09 2.8107990e+03 2.2285080e-04 1.3799227e+00
3.7434260e-08 3.4871070e-05 5.7766910e-09 2.8108130e+03 2.3130200e-04 1.3964888e+00
3.9973700e-08 3.7237060e-05 6.3357340e-09 2.8108280e+03 2.3987680e-04 1.4100697e+00
4.2685400e-08 3.9763590e-05 6.9514860e-09 2.8108440e+03 2.4592010e-04 1.4069475e+00
4.5581060e-08 4.2461550e-05 7.6213230e-09 2.8108590e+03 2.5040640e-04 1.3953683e+00
4.8673150e-08 4.5342570e-05 8.3493050e-09 2.8108750e+03 2.5478020e-04 1.3838896e+00
5.1975000e-08 4.8419070e-05 9.1400290e-09 2.8108900e+03 2.5915390e-04 1.3731203e+00
5.5500830e-08 5.1704320e-05 9.9988980e-09 2.8109060e+03 2.6370460e-04 1.3638807e+00
5.9265860e-08 5.5212480e-05 1.0932530e-08 2.8109220e+03 2.6869240e-04 1.3572440e+00
6.3286280e-08 5.8958680e-05 1.1949350e-08 2.8109380e+03 2.7448710e-04 1.3546073e+00
6.7579450e-08 6.2959080e-05 1.3060480e-08 2.8109540e+03 2.8160340e-04 1.3577731e+00
7.2163850e-08 6.7230950e-05 1.4281010e-08 2.8109720e+03 2.9074090e-04 1.3690165e+00
7.7059240e-08 7.1792740e-05 1.5631800e-08 2.8109900e+03 3.0217030e-04 1.3880908e+00
8.2286720e-08 7.6664140e-05 1.7135320e-08 2.8110100e+03 3.1298010e-04 1.4005991e+00
8.7868820e-08 8.1866110e-05 1.8787530e-08 2.8110300e+03 3.2155940e-04 1.4015072e+00
9.3829590e-08 8.7421060e-05 2.0597190e-08 2.8110500e+03 3.2953610e-04 1.3989861e+00
1.0019470e-07 9.3352950e-05 2.2575790e-08 2.8110710e+03 3.3704360e-04 1.3940431e+00
1.0699170e-07 9.9687350e-05 2.4734370e-08 2.8110920e+03 3.4388450e-04 1.3863074e+00
1.1424970e-07 1.0645160e-04 2.7082980e-08 2.8111130e+03 3.4982020e-04 1.3753433e+00
1.2200000e-07 1.1367480e-04 2.9629940e-08 2.8111340e+03 3.5455880e-04 1.3606138e+00
1.3027620e-07 1.2138820e-04 3.2380860e-08 2.8111550e+03 3.5774980e-04 1.3414773e+00
1.3911380e-07 1.2962500e-04 3.5337320e-08 2.8111760e+03 3.5897300e-04 1.3171503e+00
1.4855080e-07 1.3842080e-04 3.8495150e-08 2.8111970e+03 3.5770990e-04 1.2866104e+00
1.5862810e-07 1.4781360e-04 4.1841950e-08 2.8112190e+03 3.4988740e-04 1.2363849e+00
1.6938900e-07 1.5784380e-04 4.5282540e-08 2.8112400e+03 3.3673220e-04 1.1741024e+00
