e p n mu_b mu_e Gamma cs2 increasing
3.560440e-06 2.308770e-10 3.826020e-06 9.305780e+02 8.987360e-01 1.484410e+00 9.625060e-05 1.000000e+00
3.707200e-06 2.451320e-10 3.983710e-06 9.305820e+02 9.069980e-01 1.482180e+00 9.799950e-05 1.000000e+00
3.860240e-06 2.602660e-10 4.148160e-06 9.305860e+02 9.154200e-01 1.479950e+00 9.977470e-05 1.000000e+00
4.019850e-06 2.763350e-10 4.319660e-06 9.305890e+02 9.240060e-01 1.477730e+00 1.015760e-04 1.000000e+00
4.186310e-06 2.933970e-10 4.498530e-06 9.305930e+02 9.327570e-01 1.475520e+00 1.034040e-04 1.000000e+00
4.359930e-06 3.115110e-10 4.685080e-06 9.305970e+02 9.416770e-01 1.473320e+00 1.052590e-04 1.000000e+00
4.527920e-06 3.293420e-10 4.865590e-06 9.306010e+02 9.501180e-01 0.000000e+00 0.000000e+00 1.000000e+00
4.852560e-06 3.490670e-10 5.214410e-06 9.306050e+02 9.595580e-01 1.469450e+00 1.056970e-04 1.000000e+00
5.054660e-06 3.706200e-10 5.431560e-06 9.306090e+02 9.689890e-01 1.467280e+00 1.075760e-04 1.000000e+00
5.265490e-06 3.935020e-10 5.658100e-06 9.306130e+02 9.786000e-01 1.465120e+00 1.094830e-04 1.000000e+00
5.485450e-06 4.177980e-10 5.894430e-06 9.306170e+02 9.883930e-01 1.462970e+00 1.114180e-04 1.000000e+00
5.714910e-06 4.435930e-10 6.141010e-06 9.306210e+02 9.983720e-01 1.460840e+00 1.133820e-04 1.000000e+00
5.954400e-06 4.709810e-10 6.398290e-06 9.306260e+02 1.008540e+00 1.458720e+00 1.153730e-04 1.000000e+00
6.204210e-06 5.000590e-10 6.666730e-06 9.306300e+02 1.018900e+00 1.456620e+00 1.173940e-04 1.000000e+00
6.464910e-06 5.309340e-10 6.946860e-06 9.306350e+02 1.029450e+00 1.454530e+00 1.194440e-04 1.000000e+00
6.736990e-06 5.637140e-10 7.239170e-06 9.306390e+02 1.040200e+00 1.452460e+00 1.215240e-04 1.000000e+00
7.020920e-06 5.985180e-10 7.544230e-06 9.306440e+02 1.051150e+00 1.450410e+00 1.236340e-04 1.000000e+00
7.317230e-06 6.354690e-10 7.862610e-06 9.306490e+02 1.062310e+00 1.448370e+00 1.257740e-04 1.000000e+00
7.626510e-06 6.747090e-10 8.194890e-06 9.306540e+02 1.073670e+00 1.446350e+00 1.279460e-04 1.000000e+00
7.949260e-06 7.163650e-10 8.541710e-06 9.306590e+02 1.085240e+00 1.444350e+00 1.301490e-04 1.000000e+00
8.286190e-06 7.605940e-10 8.903720e-06 9.306640e+02 1.097030e+00 1.442360e+00 1.323830e-04 1.000000e+00
8.637940e-06 8.075500e-10 9.281600e-06 9.306690e+02 1.109030e+00 1.440400e+00 1.346480e-04 1.000000e+00
9.005060e-06 8.574090e-10 9.676060e-06 9.306740e+02 1.121250e+00 1.438450e+00 1.369480e-04 1.000000e+00
9.388340e-06 9.103520e-10 1.008780e-05 9.306790e+02 1.133700e+00 1.436520e+00 1.392810e-04 1.000000e+00
